"source","cases_interviewed","contacts_interviewed","pm_start_date"
"Unified Response to COVID-19 Case Investigation and Contact Tracing, Chicago, December 2020-April 2021.%%%Chicago%%%manual",24450,13117,"12/27/2020"
"Outcomes of Contact Tracing in San Francisco, California-Test and Trace During Shelter-in-Place.%%%San Francisco%%%manual",1394,726.769285124649,"04/13/2020"
"Lessons Learned From COVID-19 Contact Tracing During a Public Health Emergency: A Prospective Implementation Study.%%%New Haven%%%manual",826,687,"04/04/2020"
"Implementation of close contact elicitation at the time of COVID-19 testing-Atlanta, GA, October-November 2020.%%%Fulton County%%%manual",12068,NA,"05/01/2020"
"Integrating Contact Tracers Into Point-of-Care Testing Workflow to Accelerate the Tracing of People With Exposure to COVID-19, August-December 2020, New York City.%%%New York City communities with higher than average COVID-19 incidence rates%%%manual",8878,5102,"08/17/2020"
"A Patient-Initiated Digital COVID-19 Contact Notification Tool (TellYourContacts): Evaluation Study.%%%United States*%%%digital",NA,1398.51277383376,"05/18/2020"
"A State Health Department and Health Information Exchange Partnership: An Effective Collaboration for a Data-Driven Response for COVID-19 Contact Tracing  in Maryland.%%%Maryland%%%manual",352356,316363,"06/15/2020"
"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.%%%DE%%%manual",6527,882,"03/11/2020"
"COVID-19 Contact Tracing in Two Counties - North Carolina, June-July 2020.%%%Mecklenburg%%%manual",5514,9815,"06/01/2020"
"COVID-19 Contact Tracing in Two Counties - North Carolina, June-July 2020.%%%Randolph County%%%manual",584,552,"06/15/2020"
"COVID-19 Case Investigation and Contact Tracing in the US, 2020.%%%across US%%%manual",43931,38099.2897415295,"06/01/2020"
"COVID-19 Case Investigation and Contact Tracing in the US, 2020.%%%loc_N%%%manual",2962,583.130517858126,"06/01/2020"
"COVID-19 Case Investigation and Contact Tracing in the US, 2020.%%%loc_M%%%manual",10290,12798.142701374,"06/01/2020"
"COVID-19 Case Investigation and Contact Tracing in the US, 2020.%%%loc_L%%%manual",5228,1767.97169262378,"06/01/2020"
"COVID-19 Case Investigation and Contact Tracing in the US, 2020.%%%loc_K%%%manual",7820,4840.12622236898,"06/01/2020"
"COVID-19 Case Investigation and Contact Tracing in the US, 2020.%%%loc_J%%%manual",369,110.766213563737,"06/01/2020"
