"periods","param_value","pm_start_date","metric","source","param_name","hd_summary","impt_type","df_type","nrows","pm_location","date","cases_interviewed","contacts_interviewed","digital","comb_loc_date","impt_type_alpha","count","impt_median","impt_count","metric_color","month_year","incl"
"B",36,2021-12-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-12-01,1569451,494907.638837526,"manual","(manual) 64 HD accross US and collonies, 2021-12-01",0,1569451,922639,FALSE,"mean",2021-12-01,1
"C",45.6,2021-12-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-12-01,1569451,494907.638837526,"manual","(manual) 64 HD accross US and collonies, 2021-12-01",0,1569451,922639,FALSE,"mean",2021-12-01,1
"B",24,2021-12-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-12-01,1569451,494907.638837526,"manual","(manual) 64 HD accross US and collonies, 2021-12-01",0,1569451,120988.5,FALSE,"med",2021-12-01,1
"C",24,2021-12-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-12-01,1569451,494907.638837526,"manual","(manual) 64 HD accross US and collonies, 2021-12-01",0,1569451,120988.5,FALSE,"med",2021-12-01,1
"B",33.6,2021-11-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-11-01,922639,326867.207993834,"manual","(manual) 64 HD accross US and collonies, 2021-11-01",0,922639,922639,FALSE,"mean",2021-11-01,1
"C",38.4,2021-11-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-11-01,922639,326867.207993834,"manual","(manual) 64 HD accross US and collonies, 2021-11-01",0,922639,922639,FALSE,"mean",2021-11-01,1
"B",24,2021-11-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-11-01,922639,326867.207993834,"manual","(manual) 64 HD accross US and collonies, 2021-11-01",0,922639,120988.5,FALSE,"med",2021-11-01,1
"C",24,2021-11-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-11-01,922639,326867.207993834,"manual","(manual) 64 HD accross US and collonies, 2021-11-01",0,922639,120988.5,FALSE,"med",2021-11-01,1
"B",40.8,2021-10-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-10-01,964733,397345.130525152,"manual","(manual) 64 HD accross US and collonies, 2021-10-01",0,964733,922639,FALSE,"mean",2021-10-01,1
"C",36,2021-10-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_mean",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-10-01,964733,397345.130525152,"manual","(manual) 64 HD accross US and collonies, 2021-10-01",0,964733,922639,FALSE,"mean",2021-10-01,1
"B",43.2,2021-10-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_positive_from_test_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-10-01,964733,397345.130525152,"manual","(manual) 64 HD accross US and collonies, 2021-10-01",0,964733,120988.5,FALSE,"med",2021-10-01,1
"C",24,2021-10-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","hd_cases_reached_from_positive_mean_median",NA,"reported","outer_abs",NA,"64 HD accross US and collonies",2021-10-01,964733,397345.130525152,"manual","(manual) 64 HD accross US and collonies, 2021-10-01",0,964733,120988.5,FALSE,"med",2021-10-01,1
"B",48,2021-09-26,"med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_positive_from_test_med","no","reported","outer_abs",NA,"VT",2021-09-26,11003,NA,"manual","(manual) VT, 2021-09-26",0,11003,120988.5,FALSE,"med",2021-09-01,1
"D",0,2021-09-26,"med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","contacts_reached_from_named_med","no","reported","outer_abs",NA,"VT",2021-09-26,11003,NA,"manual","(manual) VT, 2021-09-26",0,186990.652280048,186990.652280048,TRUE,"imputed",2021-09-01,0
"C",0,2021-09-26,"med","The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.%%%VT%%%manual","cases_reached_from_positive_med","no","reported","outer_abs",NA,"VT",2021-09-26,11003,NA,"manual","(manual) VT, 2021-09-26",0,11003,120988.5,FALSE,"med",2021-09-01,1
