"param_name","periods","param_value","pm_start_date","metric","source","hd_summary","impt_type","df_type","pm_location","date","cases_interviewed","contacts_interviewed","digital","comb_loc_date","impt_type_alpha","count","impt_median","impt_count","metric_color","month_year","incl"
"hd_cases_positive_from_test_mean_mean","B",36,2021-12-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-12-01,1569451,539048.423342689,"manual","(manual) 64 HD accross US and collonies, 2021-12-01",0,1569451,3675.29481015143,FALSE,"mean",2021-12-01,1
"hd_cases_reached_from_positive_mean_mean","C",45.6,2021-12-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-12-01,1569451,539048.423342689,"manual","(manual) 64 HD accross US and collonies, 2021-12-01",0,1569451,3675.29481015143,FALSE,"mean",2021-12-01,1
"hd_cases_positive_from_test_mean_median","B",24,2021-12-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-12-01,1569451,539048.423342689,"manual","(manual) 64 HD accross US and collonies, 2021-12-01",0,1569451,6090.02494734038,FALSE,"med",2021-12-01,1
"hd_cases_reached_from_positive_mean_median","C",24,2021-12-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-12-01,1569451,539048.423342689,"manual","(manual) 64 HD accross US and collonies, 2021-12-01",0,1569451,6090.02494734038,FALSE,"med",2021-12-01,1
"cases_positive_from_test_med","B",24,2021-12-01,"med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","no","reported","outer_abs","New York",2021-12-01,282173.007497446,NA,"manual","(manual) New York, 2021-12-01",0,282173.007497446,6090.02494734038,FALSE,"med",2021-12-01,1
"cases_reached_from_positive_med","C",48,2021-12-01,"med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","no","reported","outer_abs","New York",2021-12-01,282173.007497446,NA,"manual","(manual) New York, 2021-12-01",0,282173.007497446,6090.02494734038,FALSE,"med",2021-12-01,1
"contacts_reached_from_named_med","D",5.76,2021-12-01,"med","Lessons Learned from the Launch and Implementation of the COVID-19 Contact Tracing Program in New York City: a Qualitative Study.%%%New York%%%manual","no","reported","outer_abs","New York",2021-12-01,282173.007497446,NA,"manual","(manual) New York, 2021-12-01",0,5037.19503453868,5037.19503453868,TRUE,"imputed",2021-12-01,0
"hd_cases_positive_from_test_mean_mean","B",33.6,2021-11-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-11-01,922639,356020.475912168,"manual","(manual) 64 HD accross US and collonies, 2021-11-01",0,922639,3675.29481015143,FALSE,"mean",2021-11-01,1
"hd_cases_reached_from_positive_mean_mean","C",38.4,2021-11-01,"mean","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-11-01,922639,356020.475912168,"manual","(manual) 64 HD accross US and collonies, 2021-11-01",0,922639,3675.29481015143,FALSE,"mean",2021-11-01,1
"hd_cases_positive_from_test_mean_median","B",24,2021-11-01,"med","Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.%%%64 HD accross US and collonies%%%manual","yes","reported","outer_abs","64 HD accross US and collonies",2021-11-01,922639,356020.475912168,"manual","(manual) 64 HD accross US and collonies, 2021-11-01",0,922639,6090.02494734038,FALSE,"med",2021-11-01,1
