param_name,param_value,pm_location,source,pm_start_date,pm_end_date,param_type
staff_hired_ci_count,45964,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",11/01/2020,12/01/2020,manual
staff_hired_ci_count,54651,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",12/01/2020,01/01/2021,manual
staff_hired_ci_count,54587,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",01/01/2021,02/01/2021,manual
staff_hired_ci_count,51794,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",02/01/2021,03/01/2021,manual
staff_hired_ci_count,43401,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",03/01/2021,04/01/2021,manual
staff_hired_ci_count,42009,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",04/01/2021,05/01/2021,manual
staff_hired_ci_count,32989,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",05/01/2021,06/01/2021,manual
staff_hired_ci_count,26393,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",06/01/2021,07/01/2021,manual
staff_hired_ci_count,26288,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",07/01/2021,08/01/2021,manual
staff_hired_ci_count,28578,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",08/01/2021,09/01/2021,manual
staff_hired_ci_count,29657,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",09/01/2021,10/01/2021,manual
staff_hired_ci_count,30094,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",10/01/2021,11/01/2021,manual
staff_hired_ci_count,26868,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",11/01/2021,12/01/2021,manual
staff_hired_ci_count,31720,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",12/01/2021,01/01/2022,manual
staff_hired_ct_count,45363,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",11/01/2020,12/01/2020,manual
staff_hired_ct_count,54905,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",12/01/2020,01/01/2021,manual
staff_hired_ct_count,52114,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",01/01/2021,02/01/2021,manual
staff_hired_ct_count,50066,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",02/01/2021,03/01/2021,manual
staff_hired_ct_count,45374,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",03/01/2021,04/01/2021,manual
staff_hired_ct_count,42095,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",04/01/2021,05/01/2021,manual
staff_hired_ct_count,33662,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",05/01/2021,06/01/2021,manual
staff_hired_ct_count,29628,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",06/01/2021,07/01/2021,manual
staff_hired_ct_count,23383,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",07/01/2021,08/01/2021,manual
staff_hired_ct_count,23967,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",08/01/2021,09/01/2021,manual
staff_hired_ct_count,25213,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",09/01/2021,10/01/2021,manual
staff_hired_ct_count,24437,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",10/01/2021,11/01/2021,manual
staff_hired_ct_count,22292,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",11/01/2021,12/01/2021,manual
staff_hired_ct_count,23997,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",12/01/2021,01/01/2022,manual
staff_hired_ci_per_health_dept_mean,867,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",11/01/2020,12/01/2020,manual
staff_hired_ci_per_health_dept_mean,1072,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",12/01/2020,01/01/2021,manual
staff_hired_ci_per_health_dept_mean,1011,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",01/01/2021,02/01/2021,manual
staff_hired_ci_per_health_dept_mean,977,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",02/01/2021,03/01/2021,manual
staff_hired_ci_per_health_dept_mean,819,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",03/01/2021,04/01/2021,manual
staff_hired_ci_per_health_dept_mean,778,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",04/01/2021,05/01/2021,manual
staff_hired_ci_per_health_dept_mean,622,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",05/01/2021,06/01/2021,manual
staff_hired_ci_per_health_dept_mean,498,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",06/01/2021,07/01/2021,manual
staff_hired_ci_per_health_dept_mean,487,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",07/01/2021,08/01/2021,manual
staff_hired_ci_per_health_dept_mean,539,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",08/01/2021,09/01/2021,manual
staff_hired_ci_per_health_dept_mean,570,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",09/01/2021,10/01/2021,manual
staff_hired_ci_per_health_dept_mean,568,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",10/01/2021,11/01/2021,manual
staff_hired_ci_per_health_dept_mean,560,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",11/01/2021,12/01/2021,manual
staff_hired_ci_per_health_dept_mean,634,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",12/01/2021,01/01/2022,manual
staff_hired_ct_per_health_dept_mean,856,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",11/01/2020,12/01/2020,manual
staff_hired_ct_per_health_dept_mean,1077,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",12/01/2020,01/01/2021,manual
staff_hired_ct_per_health_dept_mean,948,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",01/01/2021,02/01/2021,manual
staff_hired_ct_per_health_dept_mean,927,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",02/01/2021,03/01/2021,manual
staff_hired_ct_per_health_dept_mean,840,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",03/01/2021,04/01/2021,manual
staff_hired_ct_per_health_dept_mean,765,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",04/01/2021,05/01/2021,manual
staff_hired_ct_per_health_dept_mean,623,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",05/01/2021,06/01/2021,manual
staff_hired_ct_per_health_dept_mean,549,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",06/01/2021,07/01/2021,manual
staff_hired_ct_per_health_dept_mean,425,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",07/01/2021,08/01/2021,manual
staff_hired_ct_per_health_dept_mean,444,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",08/01/2021,09/01/2021,manual
staff_hired_ct_per_health_dept_mean,467,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",09/01/2021,10/01/2021,manual
staff_hired_ct_per_health_dept_mean,453,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",10/01/2021,11/01/2021,manual
staff_hired_ct_per_health_dept_mean,455,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",11/01/2021,12/01/2021,manual
staff_hired_ct_per_health_dept_mean,471,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",12/01/2021,01/01/2022,manual
cases_per_staff_month,113,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",11/01/2020,12/01/2020,manual
cases_per_staff_month,135,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",12/01/2020,01/01/2021,manual
cases_per_staff_month,133,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",01/01/2021,02/01/2021,manual
cases_per_staff_month,72,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",02/01/2021,03/01/2021,manual
cases_per_staff_month,56,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",03/01/2021,04/01/2021,manual
cases_per_staff_month,71,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",04/01/2021,05/01/2021,manual
cases_per_staff_month,56,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",05/01/2021,06/01/2021,manual
cases_per_staff_month,32,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",06/01/2021,07/01/2021,manual
cases_per_staff_month,66,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",07/01/2021,08/01/2021,manual
cases_per_staff_month,208,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",08/01/2021,09/01/2021,manual
cases_per_staff_month,242,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",09/01/2021,10/01/2021,manual
cases_per_staff_month,124,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",10/01/2021,11/01/2021,manual
cases_per_staff_month,117,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",11/01/2021,12/01/2021,manual
cases_per_staff_month,266,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",12/01/2021,01/01/2022,manual
contacts_per_staff_month,114,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",11/01/2020,12/01/2020,manual
contacts_per_staff_month,104,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",12/01/2020,01/01/2021,manual
contacts_per_staff_month,91,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",01/01/2021,02/01/2021,manual
contacts_per_staff_month,77,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",02/01/2021,03/01/2021,manual
contacts_per_staff_month,58,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",03/01/2021,04/01/2021,manual
contacts_per_staff_month,78,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",04/01/2021,05/01/2021,manual
contacts_per_staff_month,64,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",05/01/2021,06/01/2021,manual
contacts_per_staff_month,34,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",06/01/2021,07/01/2021,manual
contacts_per_staff_month,52,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",07/01/2021,08/01/2021,manual
contacts_per_staff_month,108,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",08/01/2021,09/01/2021,manual
contacts_per_staff_month,110,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",09/01/2021,10/01/2021,manual
contacts_per_staff_month,85,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",10/01/2021,11/01/2021,manual
contacts_per_staff_month,67,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",11/01/2021,12/01/2021,manual
contacts_per_staff_month,98,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",12/01/2021,01/01/2022,manual
cases_assigned_count,3861466,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",11/01/2020,12/01/2020,manual
cases_assigned_count,6078802,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",12/01/2020,01/01/2021,manual
cases_assigned_count,6050877,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",01/01/2021,02/01/2021,manual
cases_assigned_count,3079448,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",02/01/2021,03/01/2021,manual
cases_assigned_count,1661864,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021.",03/01/2021,04/01/2021,manual
