date,cum_diagnoses,new_diagnoses,cum_severe,new_severe,cum_deaths,new_deaths,new_tests,new_tests_fb,CELR_tests
2020-01-22,,,,,,,0.0,,0.0
2020-01-23,1.7142857142857142,0.8571428571428571,,,0.0,0.0,0.0,,0.0
2020-01-24,,,,,,,0.0,,0.0
2020-01-25,,,,,,,0.0,,0.0
2020-01-26,,,,,,,0.0,,0.0
2020-01-27,,,,,,,0.0,,0.0
2020-01-28,,,,,,,0.0,,0.0
2020-01-29,,,,,,,0.0,,0.0
2020-01-30,3.142857142857143,1.4285714285714286,,,0.0,0.0,0.0,,0.0
2020-01-31,,,,,,,0.0,,0.0
2020-02-01,,,,,,,0.0,,0.0
2020-02-02,,,,,,,0.0,,0.0
2020-02-03,,,,,,,0.0,,0.0
2020-02-04,,,,,,,0.0,,0.0
2020-02-05,,,,,,,0.0,,0.0
2020-02-06,4.571428571428571,1.4285714285714286,,,0.0,0.0,0.0,,0.0
2020-02-07,,,,,,,0.0,,0.0
2020-02-08,,,,,,,0.0,,0.0
2020-02-09,,,,,,,0.0,,0.0
2020-02-10,,,,,,,0.0,,0.0
2020-02-11,,,,,,,0.0,,0.0
2020-02-12,,,,,,,0.0,,0.0
2020-02-13,6.7142857142857135,2.142857142857143,,,0.0,0.0,0.0,,0.0
2020-02-14,,,,,,,0.0,,0.0
2020-02-15,,,,,,,0.0,,0.0
2020-02-16,,,,,,,0.0,,0.0
2020-02-17,,,,,,,0.0,,0.0
2020-02-18,,,,,,,0.0,,0.0
2020-02-19,,,,,,,0.0,,0.0
2020-02-20,10.142857142857142,3.4285714285714284,,,0.0,0.0,0.0,,0.0
2020-02-21,,,,,,,0.0,,0.0
2020-02-22,,,,,,,0.0,,0.0
2020-02-23,,,,,,,0.0,,0.0
2020-02-24,,,,,,,0.0,,0.0
2020-02-25,,,,,,,0.0,,0.0
2020-02-26,,,,,,,0.0,,0.0
2020-02-27,26.0,15.857142857142858,,,0.8571428571428571,0.8571428571428571,0.0,,0.0
2020-02-28,,,,,,,0.0,,0.0
2020-02-29,,,,,,,0.0,,0.0
2020-03-01,,,,,,,0.0,,0.0
2020-03-02,,,,,,,0.0,,0.0
2020-03-03,,,,,,,0.0,,0.0
2020-03-04,,,,,,,0.0,,0.0
2020-03-05,188.28571428571428,162.28571428571428,,,2.0,1.1428571428571428,0.0,,0.0
2020-03-06,,,,,,,0.0,,0.0
2020-03-07,,,,,,,0.0,,974.0
2020-03-08,,,,,,,233.0,1165.0,1157.0
2020-03-09,,,,,,,286.8,1434.0,1425.0
2020-03-10,,,,,,,368.6,1843.0,1827.0
2020-03-11,,,,,,,481.20000000000005,2406.0,2388.0
2020-03-12,1325.7142857142856,1137.428571428571,,,20.142857142857142,18.142857142857142,701.0,3505.0,3457.0
2020-03-13,,,,,,,992.6,4963.0,4882.0
2020-03-14,,,,,,,1314.6000000000001,6573.0,6480.0
2020-03-15,,,,,,,1680.4,8402.0,8302.0
2020-03-16,,,,,,,2392.8,11964.0,11825.0
2020-03-17,,,,,,,3432.0,17160.0,16989.0
2020-03-18,,,,,,,4733.8,23669.0,23471.0
2020-03-19,9832.57142857143,8506.857142857143,,,181.1428571428571,161.0,6213.0,31065.0,30835.0
2020-03-20,,,,,,,8058.6,40293.0,40032.0
2020-03-21,,,,,,,9851.800000000001,49259.0,48957.0
2020-03-22,,,,,,,11551.6,57758.0,57396.0
2020-03-23,,,,,,,13052.6,65263.0,64894.0
2020-03-24,,,,,,,14902.800000000001,74514.0,74113.0
2020-03-25,,,,,,,16740.4,83702.0,83257.0
2020-03-26,31825.857142857145,21993.285714285714,,,908.5714285714286,727.4285714285714,18700.8,93504.0,93191.0
2020-03-27,,,,,,,20401.600000000002,102008.0,101928.0
2020-03-28,,,,,,,21714.600000000002,108573.0,108486.0
2020-03-29,,,,,,,22752.4,113762.0,113797.0
2020-03-30,,,,,,,23999.0,119995.0,120117.0
2020-03-31,,,,,,,25075.600000000002,125378.0,125516.0
2020-04-01,,,,,,,26173.4,130867.0,131073.0
2020-04-02,63179.42857142857,31353.571428571428,,,2703.285714285714,1794.7142857142858,27102.2,135511.0,135665.0
2020-04-03,,,,,,,28058.2,140291.0,140320.0
2020-04-04,,,,,,,28801.0,144005.0,144055.0
2020-04-05,,,,,,,29612.2,148061.0,148042.0
2020-04-06,,,,,,,30172.600000000002,150863.0,150781.0
2020-04-07,,,,,,,31250.0,156250.0,156198.0
2020-04-08,,,,,,,31684.2,158421.0,158493.0
2020-04-09,92705.28571428572,29525.85714285714,,,4923.142857142857,2219.8571428571427,32035.0,160175.0,160299.0
2020-04-10,,,,,,,32115.4,160577.0,160672.0
2020-04-11,,,,,,,33908.0,169540.0,169655.0
2020-04-12,,,,,,,33134.200000000004,165671.0,165847.0
2020-04-13,,,,,,,32308.600000000002,161543.0,161729.0
2020-04-14,,,,,,,31811.2,159056.0,159271.0
2020-04-15,,,,,,,31927.800000000003,159639.0,159753.0
2020-04-16,121056.57142857142,28351.285714285714,0.1428571428571428,0.1428571428571428,7130.142857142857,2207.0,32219.600000000002,161098.0,161120.0
2020-04-17,,,,,,,32976.8,164884.0,164911.0
2020-04-18,,,,,,,31744.600000000002,158723.0,158772.0
2020-04-19,,,,,,,32397.4,161987.0,162026.0
2020-04-20,,,,,,,33721.200000000004,168606.0,168670.0
2020-04-21,,,,,,,35399.4,176997.0,177092.0
2020-04-22,,,,,,,37214.4,186072.0,186127.0
2020-04-23,149349.0,28292.428571428572,0.2857142857142857,0.1428571428571428,9116.142857142857,1986.0,38616.6,193083.0,193206.0
2020-04-24,,,,,,,40361.0,201805.0,201922.0
2020-04-25,,,,,,,41855.600000000006,209278.0,209326.0
2020-04-26,,,,,,,42920.4,214602.0,214648.0
2020-04-27,,,,,,,44788.600000000006,223943.0,223986.0
2020-04-28,,,,,,,46174.8,230874.0,230907.0
2020-04-29,,,,,,,47859.4,239297.0,239300.0
2020-04-30,176330.85714285713,26981.85714285714,0.2857142857142857,0.0,10948.0,1831.857142857143,50411.200000000004,252056.0,252057.0
2020-05-01,,,,,,,52615.600000000006,263078.0,263030.0
2020-05-02,,,,,,,54009.4,270047.0,269955.0
2020-05-03,,,,,,,55038.200000000004,275191.0,275038.0
2020-05-04,,,,,,,55748.0,278740.0,278563.0
2020-05-05,,,,,,,57165.8,285829.0,285560.0
2020-05-06,,,,,,,59019.0,295095.0,294782.0
2020-05-07,199198.0,22867.14285714286,0.5714285714285714,0.2857142857142857,12438.0,1490.0,60163.4,300817.0,300378.0
2020-05-08,,,,,,,62075.600000000006,310378.0,309952.0
2020-05-09,,,,,,,63999.4,319997.0,319476.0
2020-05-10,,,,,,,65181.600000000006,325908.0,325351.0
2020-05-11,,,,,,,67157.8,335789.0,335250.0
2020-05-12,,,,,,,70089.40000000001,350447.0,349913.0
2020-05-13,,,,,,,72680.40000000001,363402.0,362667.0
2020-05-14,221752.2857142857,22554.285714285714,1.0,0.4285714285714285,13795.57142857143,1357.571428571429,75185.0,375925.0,375163.0
2020-05-15,,,,,,,76382.6,381913.0,380856.0
2020-05-16,,,,,,,77249.8,386249.0,386041.0
2020-05-17,,,,,,,78832.40000000001,394162.0,393722.0
2020-05-18,,,,,,,79781.0,398905.0,398865.0
2020-05-19,,,,,,,80124.40000000001,400622.0,400291.0
2020-05-20,,,,,,,80483.20000000001,402416.0,401918.0
2020-05-21,242650.0,20897.714285714286,1.4285714285714286,0.4285714285714285,14770.285714285716,974.7142857142856,80752.6,403763.0,403226.0
2020-05-22,,,,,,,82093.40000000001,410467.0,408071.0
2020-05-23,,,,,,,82786.40000000001,413932.0,410313.0
2020-05-24,,,,,,,83999.40000000001,419997.0,416876.0
2020-05-25,,,,,,,83313.0,416565.0,413945.0
2020-05-26,,,,,,,84096.6,420483.0,418453.0
2020-05-27,,,,,,,86690.40000000001,433452.0,431664.0
2020-05-28,263494.28571428574,20844.285714285714,1.7142857142857144,0.2857142857142857,15702.000000000002,931.7142857142856,88888.6,444443.0,442471.0
2020-05-29,,,,,,,90451.8,452259.0,452343.0
2020-05-30,,,,,,,92274.20000000001,461371.0,461800.0
2020-05-31,,,,,,,93035.20000000001,465176.0,465540.0
2020-06-01,,,,,,,96187.6,480938.0,480527.0
2020-06-02,,,,,,,97924.6,489623.0,488744.0
2020-06-03,,,,,,,98748.6,493743.0,493063.0
2020-06-04,283923.7142857143,20429.428571428572,1.8571428571428572,0.1428571428571428,16431.285714285717,729.2857142857143,101092.6,505463.0,504950.0
2020-06-05,,,,,,,101838.6,509193.0,509003.0
2020-06-06,,,,,,,102136.0,510680.0,510433.0
2020-06-07,,,,,,,103054.6,515273.0,515096.0
2020-06-08,,,,,,,103339.40000000001,516697.0,516411.0
2020-06-09,,,,,,,104433.40000000001,522167.0,522033.0
2020-06-10,,,,,,,105759.40000000001,528797.0,528418.0
2020-06-11,306575.28571428574,22651.571428571428,2.0,0.1428571428571428,17093.857142857145,662.5714285714286,105652.40000000001,528262.0,528127.0
2020-06-12,,,,,,,106890.40000000001,534452.0,534153.0
2020-06-13,,,,,,,108812.20000000001,544061.0,543870.0
2020-06-14,,,,,,,109026.20000000001,545131.0,544818.0
2020-06-15,,,,,,,110661.0,553305.0,553081.0
2020-06-16,,,,,,,113877.6,569388.0,569056.0
2020-06-17,,,,,,,116081.8,580409.0,579982.0
2020-06-18,337843.4285714286,31268.14285714286,2.0,0.0,17678.428571428572,584.5714285714286,118571.6,592858.0,591964.0
2020-06-19,,,,,,,121079.20000000001,605396.0,602417.0
2020-06-20,,,,,,,122578.8,612894.0,610480.0
2020-06-21,,,,,,,122815.20000000001,614076.0,612123.0
2020-06-22,,,,,,,124000.6,620003.0,618234.0
2020-06-23,,,,,,,124790.40000000001,623952.0,622383.0
2020-06-24,,,,,,,126535.8,632679.0,630953.0
2020-06-25,382217.4285714286,44374.0,2.0,0.0,18228.57142857143,550.1428571428571,128522.6,642613.0,640772.0
2020-06-26,,,,,,,131544.6,657723.0,657620.0
2020-06-27,,,,,,,134673.4,673367.0,672246.0
2020-06-28,,,,,,,138814.0,694070.0,692400.0
2020-06-29,,,,,,,142157.80000000002,710789.0,708988.0
2020-06-30,,,,,,,146603.4,733017.0,732087.0
2020-07-01,,,,,,,149968.2,749841.0,750195.0
2020-07-02,434848.4285714286,52631.0,2.0,0.0,18863.71428571429,635.1428571428571,152461.4,762307.0,763578.0
2020-07-03,,,,,,,152207.6,761038.0,762722.0
2020-07-04,,,,,,,150121.80000000002,750609.0,753076.0
2020-07-05,,,,,,,148999.4,744997.0,747218.0
2020-07-06,,,,,,,150735.80000000002,753679.0,756134.0
2020-07-07,,,,,,,152091.6,760458.0,762134.0
2020-07-08,,,,,,,154841.4,774207.0,776133.0
2020-07-09,497719.28571428574,62870.857142857145,21.285714285714285,19.285714285714285,19639.428571428576,775.7142857142857,159222.6,796113.0,797454.0
2020-07-10,,,,,,,165365.2,826826.0,828176.0
2020-07-11,,,,,,,171641.0,858205.0,859117.0
2020-07-12,,,,,,,176526.6,882633.0,884454.0
2020-07-13,,,,,,,180594.2,902971.0,905458.0
2020-07-14,,,,,,,183462.0,917310.0,919693.0
2020-07-15,,,,,,,185016.80000000002,925084.0,926514.0
2020-07-16,564389.5714285715,66670.28571428571,886.8571428571429,865.5714285714286,20511.571428571435,872.1428571428571,185503.80000000002,927519.0,928764.0
2020-07-17,,,,,,,186400.0,932000.0,932544.0
2020-07-18,,,,,,,188464.2,942321.0,943152.0
2020-07-19,,,,,,,189047.0,945235.0,945199.0
2020-07-20,,,,,,,190177.2,950886.0,949030.0
2020-07-21,,,,,,,191105.6,955528.0,953406.0
2020-07-22,,,,,,,193233.0,966165.0,965106.0
2020-07-23,628993.2857142858,64603.71428571428,6181.571428571428,5294.714285714285,21589.571428571435,1078.0,194805.80000000002,974029.0,973650.0
2020-07-24,,,,,,,195585.80000000002,977929.0,978779.0
2020-07-25,,,,,,,199950.23529503105,999751.1764751552,974486.0
2020-07-26,,,,,,,204314.6705900621,1021573.3529503105,969502.0
2020-07-27,,,,,,,208679.10588509313,1043395.5294254656,955276.0
2020-07-28,,,,,,,213043.54118012424,1065217.7059006211,946379.0
2020-07-29,,,,,,,217407.97647515527,1087039.8823757763,934743.0
2020-07-30,686035.7142857143,57042.42857142857,11397.285714285714,5215.714285714285,22646.28571428572,1056.7142857142858,221772.41177018636,1108862.0588509317,927653.0
2020-07-31,,,,,,,226136.84706521733,1130684.2353260866,914460.0
2020-08-01,,,,,,,230501.2823602485,1152506.4118012425,901774.0
2020-08-02,,,,,,,234865.7176552795,1174328.5882763974,893042.0
2020-08-03,,,,,,,239230.15295031053,1196150.7647515526,889408.0
2020-08-04,,,,,,,243594.58824534155,1217972.9412267078,876131.0
2020-08-05,,,,,,,247959.0235403727,1239795.1177018634,866800.0
2020-08-06,740043.8571428572,54008.142857142855,15884.571428571428,4487.285714285715,23692.714285714297,1046.428571428571,252323.45883540373,1261617.2941770186,860756.0
2020-08-07,,,,,,,256687.89413043472,1283439.4706521735,865080.0
2020-08-08,,,,,,,261052.32942546578,1305261.647127329,868004.0
2020-08-09,,,,,,,265416.7647204969,1327083.8236024843,869361.0
2020-08-10,,,,,,,269781.20001552795,1348906.0000776397,870325.0
2020-08-11,,,,,,,274145.635310559,1370728.1765527949,874360.0
2020-08-12,,,,,,,278510.07060559,1392550.35302795,882283.0
2020-08-13,787337.5714285715,47293.71428571428,21749.428571428572,5864.857142857143,24697.28571428572,1004.5714285714286,282874.5059006211,1414372.5295031057,879752.0
2020-08-14,,,,,,,287238.9411956522,1436194.7059782608,871901.0
2020-08-15,,,,,,,291603.37649068324,1458016.882453416,865196.0
2020-08-16,,,,,,,295967.81178571435,1479839.0589285716,857527.0
2020-08-17,,,,,,,300332.24708074535,1501661.2354037268,842041.0
2020-08-18,,,,,,,304696.6823757764,1523483.411878882,838624.0
2020-08-19,,,,,,,309061.11767080746,1545305.5883540371,836520.0
2020-08-20,829627.8571428572,42290.28571428572,25307.0,3557.5714285714284,25636.142857142862,938.8571428571428,313425.5529658386,1567127.7648291928,839395.0
2020-08-21,,,,,,,317789.98826086964,1588949.941304348,839731.0
2020-08-22,,,,,,,322154.42355590063,1610772.117779503,843650.0
2020-08-23,,,,,,,326518.85885093175,1632594.2942546585,841659.0
2020-08-24,,,,,,,330883.2941459628,1654416.470729814,840441.0
2020-08-25,,,,,,,335247.72944099386,1676238.647204969,843008.0
2020-08-26,,,,,,,339612.16473602486,1698060.8236801242,843593.0
2020-08-27,871001.0,41373.142857142855,28586.571428571428,3279.5714285714284,26508.28571428572,872.1428571428571,343976.6000310559,1719883.0001552794,846924.0
2020-08-28,,,,,,,348341.03532608703,1741705.176630435,850015.0
2020-08-29,,,,,,,352705.4706211181,1763527.3531055902,850303.0
2020-08-30,,,,,,,357069.9059161491,1785349.5295807454,857697.0
2020-08-31,,,,,,,361434.3412111801,1807171.7060559003,856955.0
2020-09-01,,,,,,,365798.7765062112,1828993.882531056,857446.0
2020-09-02,,,,,,,370163.21180124226,1850816.059006211,858852.0
2020-09-03,907476.8571428572,36475.857142857145,31865.714285714286,3279.1428571428573,27253.714285714297,745.4285714285714,374527.6470962733,1872638.2354813665,860502.0
2020-09-04,,,,,,,378892.0823913044,1894460.4119565217,862133.0
2020-09-05,,,,,,,383256.5176863355,1916282.5884316773,864911.0
2020-09-06,,,,,,,387620.95298136654,1938104.7649068325,858288.0
2020-09-07,,,,,,,391985.38827639754,1959926.9413819876,822995.0
2020-09-08,,,,,,,396349.8235714286,1981749.1178571428,788198.0
2020-09-09,,,,,,,392894.0164285714,1964470.0821428571,778544.0
2020-09-10,946028.1428571428,38551.28571428572,35151.857142857145,3286.1428571428573,28079.42857142858,825.7142857142857,402445.461,2012227.305,786121.0
2020-09-11,,,,,,,401391.40800000005,2006957.04,800826.0
2020-09-12,,,,,,,405037.0405714286,2025185.202857143,807774.0
2020-09-13,,,,,,,404220.84685714287,2021104.2342857143,816630.0
2020-09-14,,,,,,,403487.87442857143,2017439.372142857,858450.0
2020-09-15,,,,,,,403606.9195714286,2018034.597857143,901893.0
2020-09-16,,,,,,,407348.4548571428,2036742.274285714,927715.0
2020-09-17,989669.8571428572,43641.71428571428,38363.857142857145,3212.0,28855.57142857144,776.1428571428571,408534.1637142857,2042670.8185714283,938145.0
2020-09-18,,,,,,,411737.5774285714,2058687.887142857,956329.0
2020-09-19,,,,,,,411969.3882857144,2059846.9414285717,966904.0
2020-09-20,,,,,,,413311.4558571429,2066557.2792857145,965915.0
2020-09-21,,,,,,,414786.8104285714,2073934.0521428569,971631.0
2020-09-22,,,,,,,416647.5625714286,2083237.8128571429,980205.0
2020-09-23,,,,,,,416656.515,2083282.575,989493.0
2020-09-24,1031983.0,42313.142857142855,41859.0,3495.1428571428573,29592.285714285725,736.7142857142857,417697.6508571429,2088488.2542857144,996446.0
2020-09-25,,,,,,,419775.5288571429,2098877.6442857143,982618.0
2020-09-26,,,,,,,422901.66128571425,2114508.306428571,982379.0
2020-09-27,,,,,,,425249.6065714286,2126248.032857143,979067.0
2020-09-28,,,,,,,425700.0377142857,2128500.1885714284,967662.0
2020-09-29,,,,,,,429355.41,2146777.05,961563.0
2020-09-30,,,,,,,430211.6185714286,2151058.092857143,960533.0
2020-10-01,1077172.857142857,45189.857142857145,46031.57142857143,4172.571428571428,30308.714285714297,716.4285714285714,431346.993,2156734.965,963565.0
2020-10-02,,,,,,,431211.6930000001,2156058.4650000003,972194.0
2020-10-03,,,,,,,432445.35085714294,2162226.7542857146,977628.0
2020-10-04,,,,,,,437479.49614285707,2187397.4807142853,983840.0
2020-10-05,,,,,,,439080.3355714286,2195401.677857143,1003792.0
2020-10-06,,,,,,,440079.3257142858,2200396.628571429,1038499.0
2020-10-07,,,,,,,444813.8451428572,2224069.225714286,1069244.0
2020-10-08,1129896.4285714284,52723.57142857143,50929.71428571428,4898.142857142857,31066.14285714287,757.4285714285714,450660.25242857146,2253301.262142857,1098348.0
2020-10-09,,,,,,,457852.527,2289262.635,1128578.0
2020-10-10,,,,,,,463989.0561428571,2319945.2807142856,1147235.0
2020-10-11,,,,,,,471144.4697142858,2355722.348571429,1162450.0
2020-10-12,,,,,,,480587.2641428572,2402936.320714286,1162811.0
2020-10-13,,,,,,,486828.45514285716,2434142.2757142857,1139801.0
