,source,pm_start_date,pm_end_date,cases_assigned_count,cases_interviewed_count,cases_interviewed_perc,cases_named_contacts_count,cases_not_assigned_count,cases_per_staff_month,cases_positive_from_test_mean,cases_positive_from_test_med,cases_reached_count,cases_reached_from_exposure_mean,cases_reached_from_positive_max,cases_reached_from_positive_med,cases_reached_from_symptom_mean,cases_reached_from_symptom_med,cases_reached_from_test_mean,cases_reached_from_test_med,cases_reached_perc,cases_were_contacts_count,contacts_assigned_count,contacts_infected_count,contacts_infected_perc,contacts_interviewed_count,contacts_interviewed_perc,contacts_named_count,contacts_named_count_household,contacts_named_perc,contacts_named_perc_household,contacts_named_ratio_mean,contacts_named_ratio_mean_cases_naming,contacts_named_ratio_mean_household,contacts_named_ratio_med,contacts_per_staff_month,contacts_reached_count,contacts_reached_from_exposure_mean,contacts_reached_from_exposure_med,contacts_reached_from_named_mean,contacts_reached_from_named_med,contacts_reached_from_symptom_med,contacts_reached_from_test_mean,contacts_reached_from_test_med,contacts_reached_perc,contacts_tested_count,hd_cases_interviewed_perc_hdcount,hd_cases_interviewed_perc_mean,hd_cases_interviewed_perc_med,hd_cases_positive_from_test_mean_hdcount,hd_cases_positive_from_test_mean_mean,hd_cases_positive_from_test_mean_med,hd_cases_reached_from_test_mean_hdcount,hd_cases_reached_from_test_mean_mean,hd_cases_reached_from_test_mean_med,hd_cases_was_contacts_perc_hdcount,hd_cases_was_contacts_perc_mean,hd_cases_was_contacts_perc_med,hd_contacts_named_ratio_mean_cases_naming_hdcount,hd_contacts_named_ratio_mean_cases_naming_mean,hd_contacts_named_ratio_mean_cases_naming_med,hd_contacts_named_ratio_mean_hdcount,hd_contacts_named_ratio_mean_mean,hd_contacts_named_ratio_mean_med,hd_contacts_reached_from_named_mean_hdcount,hd_contacts_reached_from_named_mean_mean,hd_contacts_reached_from_named_mean_med,hd_contacts_reached_perc_hdcount,hd_contacts_reached_perc_mean,hd_contacts_reached_perc_med,hd_contacts_test_from_notified_hdcount,hd_contacts_test_from_notified_mean,hd_contacts_test_from_notified_med,hd_percent_naming_contcts_hdcount,hd_percent_naming_contcts_mean,hd_percent_naming_contcts_med,hr_hours,monetary_cost,notifications_sent_count,num_users_count,num_users_upper_bound,percent_naming_contacts,quarantine_adherent_perc,staff_hired_ci_count,staff_hired_ci_per_health_dept_mean,staff_hired_count,staff_hired_ct_count,staff_hired_ct_per_health_dept_mean,user_cases_notifying,users_with_code
0,"A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.",03/01/2021,03/31/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,,,,,
1,"A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.",04/01/2021,06/30/2020,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.",07/01/2020,06/30/2021,52317.0,42900.0,,,,,,,,,,,146.4,,81.6,,,,,,,,,,,,18.6,1.8,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.",07/01/2020,09/30/2020,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A Patient-Initiated Digital COVID-19 Contact Notification Tool (TellYourContacts): Evaluation Study.,05/18/2020,08/17/2020,,,,,,,,,,,,,,,,,,,,,,,,1957.0,,,,,,,,,1957.0,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A State Health Department and Health Information Exchange Partnership: An Effective Collaboration for a Data-Driven Response for COVID-19 Contact Tracing  in Maryland.,06/15/2020,08/28/2021,498739.0,352356.0,,287193.0,,,,,394044.0,,,,,,,,,,531221.0,,,316363.0,,,,,,,,,,,365641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A Survey of County Health Departments of Kansas Regarding COVID-19.,04/15/2020,04/24/2020,,,,,,,67.656,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.0,,,,
7,A Web-Based Digital Contact Tracing Strategy Addresses Stigma Concerns Among Individuals Evaluated for COVID-19.,12/23/2020,12/28/2020,,,,,,,,48.0,,,,,,,,48.0,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.",06/23/2021,08/17/2021,7544.0,19890.0,,,,,,,5685.0,,,,,,,72.0,,,,,,883.0,,1922.0,,,,,,,,,1372.0,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19890.0,,,,,,,,,,,,,
9,"Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.",09/01/2021,10/26/2021,15681.0,4537.0,,,,,,,9351.0,,,,,,,48.0,,,,,,1234.0,,2375.0,,,,,,,,,1853.0,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12788.0,,,,,,,,,,,,,
