pm_start_date,pm_end_date,pm_location,source,param_name,Desc,param_type,month_imputation_method,param_value
03/01/2020,03/31/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",cases_assigned_count,Initial set of possible cases assigned to org,NA,spread_cases,440.38865705614563
03/01/2020,03/31/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",cases_interviewed_count,Org completed index case interview. Percentage is of total cases assigned.,NA,spread_cases,294.449576378351
03/01/2020,03/31/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",cases_named_contacts_count,Number of cases who name at least one contact.,NA,spread_cases,51.29296282245826
03/01/2020,03/31/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",cases_reached_from_positive_med,"Time from the health department getting the positive test result to getting in touch with primary case. type can be added to specify med, mean, etc",NA,translate,192
03/01/2020,03/31/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",contacts_infected_count,Secondary contact confirmed infected with covid,NA,spread_cases,0.18045017703591296
03/01/2020,03/31/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",contacts_interviewed_count,Org completed secondary case interview,NA,spread_cases,39.78926403641881
03/01/2020,03/31/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",contacts_named_count,Amount of contacts named by case or perc who reported contacts,NA,spread_cases,127.84895042994435
03/01/2020,03/31/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",contacts_named_ratio_mean_cases_naming,The ratio of number of contacts named through case investigations over the number of cases interviewed that reported one or more contacts.  Means and medians are taken with respect to cases. ,NA,translate,2.5
03/01/2020,03/31/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",contacts_reached_from_named_med,Time to reach contact after a case named them,NA,translate,48
03/01/2020,03/31/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",cases_assigned_count,Initial set of possible cases assigned to org,NA,spread_cases,16.835894572914523
03/01/2020,03/31/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",cases_interviewed_count,Org completed index case interview. Percentage is of total cases assigned.,manual,spread_cases,16.835894572914523
03/01/2020,03/31/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",cases_reached_from_test_med,"Time from test (providing specimen) to getting in touch with primary case, type can be added to specify med, mean, etc",NA,translate,48
03/01/2020,03/31/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",contacts_infected_count,Secondary contact confirmed infected with covid,NA,spread_cases,26.07733670261217
03/01/2020,03/31/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",contacts_named_count,Amount of contacts named by case or perc who reported contacts,NA,spread_cases,137.15764111303733
03/01/2020,03/31/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",contacts_reached_count,"Org contacted secondary case, but did not complete interview",NA,spread_cases,119.58975112390914
03/01/2020,03/31/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",contacts_reached_from_exposure_med,Time to reach contact after they were exposed,NA,translate,96
03/01/2020,03/31/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",hr_hours,Human hours,NA,spread_even,367.3333333333333
03/01/2020,03/31/2020,Salt Lake City,"Coronavirus Disease Contact Tracing Outcomes and Cost, Salt Lake County, Utah, USA, March-May 2020.",monetary_cost,"cost to public health budget This could also be cost per index case, cost per close contact, cost per interviewed case (to delineate the difference in cost when they were unsuccessful? re: HIV costing paper)",NA,spread_even,9744.666666666666
04/01/2020,04/30/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",cases_assigned_count,Initial set of possible cases assigned to org,NA,spread_cases,4994.569044006068
04/01/2020,04/30/2020,DE,"Declines in SARS-CoV-2 Transmission, Hospitalizations, and Mortality After Implementation of Mitigation Measures- Delaware, March-June 2020.",cases_interviewed_count,Org completed index case interview. Percentage is of total cases assigned.,NA,spread_cases,3339.4337379868475
