"","itemID","tagID","type","name","parentItemID","authorName","text","comment","color","pageLabel","sortIndex","position","isExternal","param_string","articleItemID","linkMode","contentType","charsetID","path","syncState","storageModTime","storageHash","lastProcessedModificationTime","fieldID","valueID","fieldName","fieldFormatID","value","param_value","pm_start_date","pm_end_date","pm_location","param_type"
"1",19616,15550,0,"hr_hours",19593,NA,"71 ASU investigators completed more than 550 call hours","{{550, 6/30/2020, 07/30/2020, Maricopa, Phoenix, AZ}}","#ffd400","31","00002|001353|00430","{""pageIndex"":2,""rects"":[[169.71,350.91,304.59,361.98],[63,338.91,170.39,349.98]]}",0,"550, 6/30/2020, 07/30/2020, Maricopa, Phoenix, AZ",17007,0,"application/pdf",NA,"storage:Scott et al. - 2022 - Using Automation, Prioritization, and Collaboratio.pdf",2,1738370682000,"1ab67ba4bcc8617778a7ee1d43270f94",1738370682,1,43897,"title",NA,"Using Automation, Prioritization, and Collaboration to Manage a COVID-19 Case Surge in Maricopa County, Arizona, 2020.","550","6/30/2020","07/30/2020","Maricopa",NA
"2",19617,15551,0,"cases_assigned_count",19593,NA,"58 570 COVID19 cases (median [interquartile range (IQR)], 1415 [10882650] cases per day) were reported to MCDPH","{{58570, 6/30/2020, 07/30/2020, Maricopa, Phoenix, AZ}}","#ffd400","31","00002|004626|00681","{""pageIndex"":2,""rects"":[[496.18,99.91,564.17,110.98],[322.5,87.91,564.17,98.98],[322.5,75.91,528.06,86.98]]}",0,"58570, 6/30/2020, 07/30/2020, Maricopa, Phoenix, AZ",17007,0,"application/pdf",NA,"storage:Scott et al. - 2022 - Using Automation, Prioritization, and Collaboratio.pdf",2,1738370682000,"1ab67ba4bcc8617778a7ee1d43270f94",1738370682,1,43897,"title",NA,"Using Automation, Prioritization, and Collaboration to Manage a COVID-19 Case Surge in Maricopa County, Arizona, 2020.","58570","6/30/2020","07/30/2020","Maricopa",NA
"3",19637,15560,0,"hr_cost",19633,NA,"2-year, $54-million contract with the Chicago Cook Workforce Partnership to manage the Resource Coordination Hub, which connected people with wraparound services, and to establish a network of 500 contact tracers and supervisors across 31 subcontracted CBOs","{{54000000, 12/27/2020, 4/24/2021, Chicago, IL}}","#ffd400","41","00001|003719|00418","{""pageIndex"":1,""rects"":[[536.37,362.91,564.01,373.98],[322.5,350.91,564.01,361.98],[322.5,338.91,564.02,349.98],[322.5,326.91,563.98,337.98],[322.5,314.91,563.98,325.98],[322.5,302.91,445.14,313.98]]}",0,"54000000, 12/27/2020, 4/24/2021, Chicago, IL",16666,0,"application/pdf",NA,"storage:Kern et al. - 2022 - Unified Response to COVID-19 Case Investigation an.pdf",2,1738701923000,"6931dfe0b5f49d9edcaeae2cab39084e",1738701923,1,41741,"title",NA,"Unified Response to COVID-19 Case Investigation and Contact Tracing, Chicago, December 2020-April 2021.","54000000","12/27/2020","4/24/2021","Chicago",NA
"4",19638,15560,0,"hr_cost",19633,NA,"$14 million in funding to 19 Chicago-based federally qualified health centers, 8 hospitals, and 9 primary care clinics to implement CI/CT services for their patient populations","{{14000000, 12/27/2020, 4/24/2021, Chicago, IL}}","#ffd400","41","00001|004165|00538","{""pageIndex"":1,""rects"":[[347.76,242.91,564.03,253.98],[322.5,230.91,564.01,241.98],[322.5,218.91,561.47,229.98]]}",0,"14000000, 12/27/2020, 4/24/2021, Chicago, IL",16666,0,"application/pdf",NA,"storage:Kern et al. - 2022 - Unified Response to COVID-19 Case Investigation an.pdf",2,1738701923000,"6931dfe0b5f49d9edcaeae2cab39084e",1738701923,1,41741,"title",NA,"Unified Response to COVID-19 Case Investigation and Contact Tracing, Chicago, December 2020-April 2021.","14000000","12/27/2020","4/24/2021","Chicago",NA
"5",19643,15554,0,"cases_reached_count",19633,NA,"case investigators attempted to interview 37 422 (57.2%) of 65 470 cases pulled from Chicago CARES","{{37422, 12/27/2020, 4/24/2021, Chicago, IL}}","#ffd400","42","00002|003264|00682","{""pageIndex"":2,""rects"":[[380.99,98.384,548.98,109.454],[307.5,86.384,546.52,97.454]]}",0,"37422, 12/27/2020, 4/24/2021, Chicago, IL",16666,0,"application/pdf",NA,"storage:Kern et al. - 2022 - Unified Response to COVID-19 Case Investigation an.pdf",2,1738701923000,"6931dfe0b5f49d9edcaeae2cab39084e",1738701923,1,41741,"title",NA,"Unified Response to COVID-19 Case Investigation and Contact Tracing, Chicago, December 2020-April 2021.","37422","12/27/2020","4/24/2021","Chicago",NA
"6",19646,15564,0,"cases_interviewed_count",19633,NA,"37.3% (n = 24 450) of case investigations resulted in successfully interviewed cases","{{24450, 12/27/2020, 4/24/2021, Chicago, IL}}","#ffd400","43","00003|000217|00523","{""pageIndex"":3,""rects"":[[113.41,256.15,304.58,268.88],[63,244.15,234.99,256.88]]}",0,"24450, 12/27/2020, 4/24/2021, Chicago, IL",16666,0,"application/pdf",NA,"storage:Kern et al. - 2022 - Unified Response to COVID-19 Case Investigation an.pdf",2,1738701923000,"6931dfe0b5f49d9edcaeae2cab39084e",1738701923,1,41741,"title",NA,"Unified Response to COVID-19 Case Investigation and Contact Tracing, Chicago, December 2020-April 2021.","24450","12/27/2020","4/24/2021","Chicago",NA
"7",19651,15565,0,"contacts_named_count",19633,NA,"34 083 named contacts","{{34083, 12/27/2020, 4/24/2021, Chicago, IL}}","#ffd400","43","00003|000872|00692","{""pageIndex"":3,""rects"":[[196.73,88.91,292.81,99.98]]}",0,"34083, 12/27/2020, 4/24/2021, Chicago, IL",16666,0,"application/pdf",NA,"storage:Kern et al. - 2022 - Unified Response to COVID-19 Case Investigation an.pdf",2,1738701923000,"6931dfe0b5f49d9edcaeae2cab39084e",1738701923,1,41741,"title",NA,"Unified Response to COVID-19 Case Investigation and Contact Tracing, Chicago, December 2020-April 2021.","34083","12/27/2020","4/24/2021","Chicago",NA
"8",19652,15563,0,"contacts_reached_count",19633,NA,"38.5% (n = 13 117) were successfully notified, 26.8% (n = 9123) were partially notified","{{22240, 12/27/2020, 4/24/2021, Chicago, IL}}","#ffd400","43","00003|000918|00703","{""pageIndex"":3,""rects"":[[197.29,76.15,304.52,88.88],[63,64.15,304.48,76.88],[63,52.15,78.55,64.88]]}",0,"22240, 12/27/2020, 4/24/2021, Chicago, IL",16666,0,"application/pdf",NA,"storage:Kern et al. - 2022 - Unified Response to COVID-19 Case Investigation an.pdf",2,1738701923000,"6931dfe0b5f49d9edcaeae2cab39084e",1738701923,1,41741,"title",NA,"Unified Response to COVID-19 Case Investigation and Contact Tracing, Chicago, December 2020-April 2021.","22240","12/27/2020","4/24/2021","Chicago",NA
"9",19659,15550,0,"hr_hours",19633,NA,"As of February 2022, the call center had managed >350 000 in-bound calls and >95 000 outbound calls (internal data, CDPH, COVID Response Bureau, 2021). Contact tracers also provided doorto-door community engagement to >19 000 homes to promote vaccine uptake in Chicago’s most affected community areas (internal data, CDPH, COVID Response Bureau, 2021).","{{445000, 12/27/2020, 4/24/2021, Chicago, IL}}","#ffd400","44","00004|002569|00082","{""pageIndex"":4,""rects"":[[526.72,698.61,548.77,709.68],[307.5,685.85,548.74,698.58],[307.5,673.85,548.77,686.58],[307.5,662.61,548.87,673.68],[307.5,649.85,548.84,662.58],[307.5,638.61,548.87,649.68],[307.5,626.61,528.46,637.68]]}",0,"445000, 12/27/2020, 4/24/2021, Chicago, IL",16666,0,"application/pdf",NA,"storage:Kern et al. - 2022 - Unified Response to COVID-19 Case Investigation an.pdf",2,1738701923000,"6931dfe0b5f49d9edcaeae2cab39084e",1738701923,1,41741,"title",NA,"Unified Response to COVID-19 Case Investigation and Contact Tracing, Chicago, December 2020-April 2021.","445000","12/27/2020","4/24/2021","Chicago",NA
"10",19692,15552,0,"cases_reached_from_test_med",19686,NA,"3 days","{{72, 8/01/2021, 9/25/2021, VT}}","#ffd400","3","00002|000778|00299","{""pageIndex"":2,""rects"":[[411.17,480.774,439.693,492.951]]}",0,"72, 8/01/2021, 9/25/2021, VT",16967,0,"application/pdf",NA,"storage:41598_2024_68634_MOESM1_ESM.pdf",2,1738708906000,"38c8afcb906f925babb5f2a5d2ed2009",1738708906,1,36034,"title",NA,"The public health impact of COVID-19 variants of concern on the effectiveness of contact tracing in Vermont, United States.","72","8/01/2021","9/25/2021","VT",NA
