param_name,pm_start_date,param_value,pm_end_date,pm_location,source
staff_hired_ci_count,11/1/20,45964,12/1/20,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_count,12/1/20,54651,1/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_count,1/1/21,54587,2/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_count,2/1/21,51794,3/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_count,3/1/21,43401,4/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_count,4/1/21,42009,5/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_count,5/1/21,32989,6/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_count,6/1/21,26393,7/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_count,7/1/21,26288,8/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_count,8/1/21,28578,9/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_count,9/1/21,29657,10/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_count,10/1/21,30094,11/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_count,11/1/21,26868,12/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ci_count,12/1/21,31720,1/1/22,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_count,11/1/20,45363,12/1/20,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_count,12/1/20,54905,1/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_count,1/1/21,52114,2/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
staff_hired_ct_count,2/1/21,50066,3/1/21,64 HD accross US and collonies,"Case Investigation and Contact Tracing Efforts From Health Departments in the United States, November 2020 to December 2021."
