,source,pm_start_date,pm_end_date,Parameter estimations,adoption_rate,case_interviewed_count,case_interviewed_perc,case_interviewed_total,case_named_contact_count,case_positive_from_test_mean,case_positive_from_test_med,case_positive_from_test_median,case_reached_count,case_reached_from_symptom_med,case_reached_from_test_avg,case_reached_from_test_med,case_reached_from_test_total,case_reached_perc,case_test_to_result_mean,cases_assigned_count,cases_assigned_total,cases_not_assigned_count,cases_reached_count,cases_reached_perc,cases_reached_total,cases_reported_total,contact_assigned_count,contact_infected_count,contact_infected_perc,contact_interviewed_count,contact_interviewed_perc,contact_named_count,contact_named_count_mean,contact_named_household_count,contact_named_household_perc,contact_named_household_ratio,contact_named_med,contact_named_perc,contact_named_ratio,contact_reached_count,contact_reached_from_named,contact_reached_from_named_mean,contact_reached_from_named_med,contact_reached_from_named_total,contact_reached_from_pos_mean,contact_reached_from_test_med,contact_reached_perc,contact_test_pos_rate,contact_tested_count,contact_time_from_symptom,contact_time_from_test,hr_cost,hr_hours,infections_prevented,lowest_est,manual_digital,monetary_cost,notifications_sent_count,notifications_sent_mean_per_contact,notifications_sent_total,notifications_sent_total_weekly,num_users_total,parameter inference,participation_percentage,positive_cases,primary_interview_completed,reporting_any_contacts_count,staff_hired_count,staff_hired_per_10kpop,state a
0,"A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.",4/1/21,6/30/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,
1,"A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.",7/1/20,6/30/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,3.4,,,,,,,,,,,,,,,42900.0,,,,
2,"A Multifaceted Evaluation of a COVID-19 Contact Tracing Program in King County, Washington.",7/1/20,9/30/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,101731.0,,,,,
3,A Patient-Initiated Digital COVID-19 Contact Notification Tool (TellYourContacts): Evaluation Study.,5/18/20,8/17/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957.0,1.33,,,,,,,1957.0,,1.33,,,,,,,,,,,,,,,,1957.0,1.33,,,,,,,,,,,
4,A State Health Department and Health Information Exchange Partnership: An Effective Collaboration for a Data-Driven Response for COVID-19 Contact Tracing  in Maryland.,6/15/20,8/28/21,,,,,352356.0,,,,,,,,,,,,,498739.0,,394044.0,,,,,,,316363.0,,531221.0,,,,,,,,365641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,287193.0,,,
5,A State Health Department and Health Information Exchange Partnership: An Effective Collaboration for a Data-Driven Response for COVID-19 Contact Tracing  in Maryland.,6/15/20,9/1/21,,,,,,,,,,,,,,,,,,,,,,,531094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A Survey of County Health Departments of Kansas Regarding COVID-19.,4/15/20,4/24/20,,,,,,,2.819,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.0,4.148408,
7,A Web-Based Digital Contact Tracing Strategy Addresses Stigma Concerns Among Individuals Evaluated for COVID-19.,12/23/20,12/28/20,,,,,,,,,2.0,,,,2.0,,,,,,,,0.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
8,"Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.",6/23/21,8/17/21,,,,,,,,,,5685.0,,,72.0,,,,7544.0,,,,,,,,,,883.0,,1922.0,,,,,,,,1372.0,,,,,,96.0,,,,,,,19890.0,,,,,,,,,,,,,,,,,
9,"Adapting COVID-19 Contact Tracing Protocols to Accommodate Resource Constraints, Philadelphia, Pennsylvania, USA, 2021.",9/1/21,10/26/21,,,4537.0,,,,,,,9351.0,,,48.0,,,,15681.0,,,,,,,,,,1234.0,,2375.0,,,,,,,,1853.0,,,,,,72.0,,,,,,,12788.0,,,,,,,,,,,,,,,,,
